name,description,neighborhood_overview,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
"99 Quiet Room, Private Desk, Near Supermarket 8890","You're renting the bedroom pictured with a queen bed. The other bedroom will be rented by others. The bathroom will be shared and cleaned weekly. Bedroom door has a lock. The perfect location near one of the world's most coveted institutions.<br /><br />This apartment is near:<br />*MIT, MGH, & Charles River<br />*Kendall Square biotech, mall, and shops<br />*Red Line T stop<br />*Green Line T stop<br />*Grocery store<br /><br />This bedroom has:<br />*Queen bed<br />*Workspace<br />*TV<br />*High speed wifi<br />*Bedroom Door Locks<br /><br />ID required after booking","Very nice, quiet, and safe neighborhood. Near many shops and stores for all your day to day needs. Within walking distance to parks, the river, MIT, and other major sites.","Cambridge, MA",,within an hour,94%,58%,Cambridge,135,190,"['email', 'phone']",Neighborhood highlights,Wellington-Harrington,,42.37219776,-71.09086241,Private room in rental unit,Private room,2,1,1 shared bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Free dryer \u2013 In building"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Lock on bedroom door"", ""Shower gel"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Keypad"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Dining table"", ""TV"", ""Carbon monoxide alarm"", ""Coffee maker: drip coffee maker"", ""Wifi"", ""Window AC unit"", ""Shampoo"", ""Free washer \u2013 In building"", ""Kitchen"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Wine glasses"", ""Heating""]",$57.00 ,0,0,0,249,0,0,0,,,,,,,,68,32,36,0,
"Near MIT/Kendall/Harvard, 30 Days+","In-Room Amenities: desk, chair, lamp, mirror, hangers, and mini-fridge.<br /><br />- 10-min walk to MIT; <br />- 1-min direct T ride to Mass General Hospital;<br />- 9-min direct bus ride to Harvard main campus;<br />- 28-min direct T ride to Harvard Medical School and affiliated teaching hospitals in Longwood; and<br />- 7-min walk to shopping centers, Apple Store, Starbucks, supermarkets, pharmacies, restaurants, etc.<br /><br />Please note:<br />- Shared kitchen and bathrooms.","INTELLECTUAL HUB <br />This house is just minutes' walk from the world's center of innovation and intellectualism - MIT and its Technology Square. And we are not far from Harvard or MGH! (8 min bike ride)<br /><br />NEIGHBORHOOD<br />While my place is nestled in a quiet, safe residential neighborhood, it is also close to the vibrancy of Kendall Square and supermarkets & eateries in Cambridge Street.","Cambridge, MA",,within an hour,100%,98%,Wellington-Harrington,33,42,"['email', 'phone']",Neighborhood highlights,Wellington-Harrington,,42.3679922,-71.09066844,Private room in home,Private room,2,2,2 shared baths,1,1,"[""Refrigerator"", ""Bed linens"", ""Lock on bedroom door"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""Portable fans"", ""Room-darkening shades"", ""Hot water"", ""Mini fridge"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating""]",$55.00 ,7,7,1,158,5,255,14025,4.43,4.57,4.29,4.57,4.86,5,4.14,22,1,21,0,0.65
East Cambridge Room,"Queen sized bed in a 2 bed, 1 bath apartment. Dedicated, private desk in room. Fast wifi. Lock on the bedroom door.<br /><br />Shared bathroom and kitchen are cleaned every few days when the other bedroom is rented. Mini fridge in the bedroom for your personal food items. Larger fridge in the main kitchen for larger food items.<br /><br />Washer/dryer are in the basement of the building and available at any time.","Very nice, quiet, and safe neighborhood. Near many shops and stores for all your day to day needs. Within walking distance to parks, the river, MIT, and other major sites.","Cambridge, MA",,within an hour,94%,58%,Cambridge,135,190,"['email', 'phone']",Neighborhood highlights,Wellington-Harrington,,42.37209,-71.09069,Private room in rental unit,Private room,2,1,1 shared bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Lock on bedroom door"", ""Shower gel"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Coffee"", ""Dryer"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Wine glasses"", ""Private entrance"", ""Heating"", ""Washer""]",$57.00 ,2,0,0,248,0,0,0,5,4,4,5,4.5,4.5,4.5,68,32,36,0,0.09
Think Spring! Classic Triple Decker nr Harvard+MIT,"Five-Star Accommodations hosted by an Airbnb SuperHost - Your comfortable oasis in a fantastic location!  <br />Hardwood floors, exposed brick, kitchen island, radiant floor heating, and central air conditioning, just to name a few of the amenities!  <br />A delightful spot on a quiet tree-lined street. <br />Easy walking distance to MIT, Harvard, Central Square T station, cafes, theater, restaurants, parks, the Charles River, and across the river to Boston!","Your Cambridge hub! Located in the residential Cambridge neighborhood of Cambridgeport, the apartment is a five-minute walk from Central Square where you'll find the subway as well as many restaurants and shops. Easy walk to MIT and jump on the subway to travel one stop to Harvard Square (or walk, it's just over a mile!)<br />Boston is just across the river. Take the Red Line subway three stops and you'll be at Boston Common.","Boston, MA","Hello! I'm Liesl - and yes, my mother was a fan of ""The Sound of Music""! Originally from New Jersey, I came to Boston for college and after a couple years living in Europe, I returned to make my home here. I've lived in Fenway, Beacon Hill, the South End and now in Jamaica Plain with my husband and two teenage sons. Many years working in the travel industry gave me a great background for my shift to  hospitality. I love working with travelers and we've had guests from all over the world - so interesting to hear your stories and what brings you to Boston. I would love to host you and give you all the inside info about what makes Boston a great place to visit!",within an hour,100%,100%,Cambridgeport,5,7,"['email', 'phone', 'work_email']",Neighborhood highlights,Cambridgeport,,42.36272448,-71.10364954,Entire rental unit,Entire home/apt,4,2,2 baths,1,2,"[""Refrigerator"", ""Bed linens"", ""Conditioner"", ""Free dryer \u2013 In building"", ""Central air conditioning"", ""Free street parking"", ""Stainless steel oven"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Shower gel"", ""First aid kit"", ""Lockbox"", ""Self check-in"", ""Housekeeping - available at extra cost"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Baking sheet"", ""Iron"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Babysitter recommendations"", ""Essentials"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Free washer \u2013 In building"", ""Body soap"", ""Kitchen"", ""Dishwasher"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Wine glasses"", ""Private entrance"", ""Central heating"", ""Fire extinguisher"", ""Gas stove""]",$231.00 ,48,33,1,88,30,198,45738,4.92,4.94,4.9,4.92,4.94,5,4.75,1,1,0,0,2.22
"Blueground | E Cambridge, gym & w/d, nr t station","Discover the best of Cambridge, with this one bedroom apartment in East Cambridge. . It’ll be easy to simply show up and start living in this airy Blueground furnished apartment with its fully-equipped kitchen, stylish living room, and our dedicated, on-the-ground support. (ID #BOS866)","This furnished rental is located in East Cambridge, a European-style neighborhood in Boston, that a diverse group of families and professionals call home. Being just a few T stops away from downtown, it is a prime location to live. With MIT and Kendall Square bordering the neighborhood as well as the exciting new Northpoint area, it represents the best of Boston and Cambridge. Be it through the local art scene, university presence, exciting employment centers, new high rises or access to the Charles River, this neighborhood has it all. This intellectual hotspot is also known for promoting ‘green living’ and this is one of the reasons why Charles River is one of America's cleanest urban rivers.","New York, NY","We’re Blueground, a global proptech company with several thousand move-in-ready apartments in a growing number of major cities around the world. With flexible terms and homes in vibrant, centrally based neighborhoods, you’ll feel at home and free to roam for as long as you want — a month, a year, or longer. 

Each apartment is thoughtfully designed with exclusive furnishings, fully equipped kitchens, and incredible amenities – making every day a five-star experience. From day one, you’ll enjoy high-speed Wi-Fi, premium linens, and smart home entertainment. Plus, access to pools, gyms, and outdoor spaces in select buildings.

Why stress over your apartment? We provide a hassle-free alternative — a consistent, quality guest experience that starts even before you arrive. Because we let you book our most up-to-date apartment listings online, confirm with a click, pay securely, and check in easily. 

Even better? You can enhance your stay with car rentals, grocery delivery, laundry services, and more through our special partnerships. 

During your stay
Upon arrival, you’ll either be greeted personally by a Blueground team member or given self-check-in instructions. The entire apartment is yours! You’ll enjoy reliable support via email, phone, and our Guest App, where you can request everything from a home cleaning to extra towels. 

We’ll share all details upon confirmation of your stay.",within an hour,99%,97%,Cambridge,5300,5508,"['email', 'phone', 'work_email']",Neighborhood highlights,East Cambridge,,42.373028,-71.0785923,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Refrigerator"", ""Bed linens"", ""High chair"", ""Cooking basics"", ""Elevator"", ""Oven"", ""Lockbox"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Washer \u2013\u00a0In unit"", ""Pets allowed"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Gym"", ""Essentials"", ""TV"", ""Fast wifi \u2013 150 Mbps"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Dryer \u2013\u00a0In unit"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Crib"", ""Hot water"", ""Private entrance"", ""Heating""]",$226.00 ,0,0,0,253,0,0,0,,,,,,,,169,169,0,0,
Home in Porter Square,"Location, Location, Location! The perfect spot for visiting the Metro Boston area. Charm of an older New England country home and the convenience of being right in bustling urban Porter Square. Rare Off-street parking and near public transportation! Only 1/4 mile to the Porter Square subway (Red Line T) and Porter Square commuter train (Fitchburg line), 1/2 mile to Davis Square, 1 mile to historic Harvard Square, 1.3 miles to Tufts University, & only 3 miles to downtown Boston!","Somerville is considered to be a highly walkable and bike-able city. Somerville hosts 21 Bluebikes (originally Hubway) stations, one of which is located right in Porter Square (Elm St).<br /><br />Porter Square is a neighborhood in Cambridge and Somerville, between Harvard and Davis Squares. The Porter Square station has both the MBTA Red Line and the Commuter Rail Fitchburg Line. A major part of the Lesley University campus is located within the Porter Square area. There are also many shops and restaurants. Within the Art Deco-style building located at 1815 Massachusetts Avenue, The ""Shops at Porter"" have a recent history of being a center for Boston's Japanese community and is home to many Japanese eateries. Nearby, on Mass Ave on the other side of porter square is Yume Wo Katare, a ramen noodle restaurant that shouldn't be missed!<br /><br />Nearby Davis Square has vibrant nightlife, live music, theaters, and restaurants. Davis Square is home to the Somerville Theatre, which hosts t",,,N/A,N/A,100%,,1,1,"['email', 'phone']",Neighborhood highlights,North Cambridge,,42.38814,-71.11862,Entire home,Entire home/apt,9,,2 baths,5,,"[""Refrigerator"", ""Bed linens"", ""Conditioner"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Free street parking"", ""Cooking basics"", ""Freezer"", ""Shower gel"", ""First aid kit"", ""Children\u2019s books and toys"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Keypad"", ""Coffee"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Dining table"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Coffee maker: Keurig coffee machine"", ""Window AC unit"", ""Shampoo"", ""Wifi"", ""Body soap"", ""Portable fans"", ""Kitchen"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Single oven"", ""Free driveway parking on premises \u2013 3 spaces"", ""Extra pillows and blankets"", ""Hot water"", ""42 inch HDTV with Fire TV"", ""Ceiling fan"", ""Wine glasses"", ""Private entrance"", ""Gas stove"", ""Heating""]",,36,4,0,0,5,24,,4.69,4.72,4.64,5,4.97,4.92,4.67,1,1,0,0,1.54
Best place at Harvard Square,"Best place to stay in Harvard Square! Just across the streets from Harvard Faculty club with window view of a historic stone church. Spacious (one bedroom) and sun-showered loft (9' ceilings) in the middle of Harvard Square scene: cafes, restaurants, shops, public transportation, subway stop at Harvard, buses 1 and 69). Meter Parking right in front of building, resident guest parking on nearby streets). Big open kitchen with s/s appliances, stone countertop and breakfast bar.",,,,a few days or more,33%,50%,Riverside,1,1,['phone'],,Riverside,,42.37156578,-71.11575018,Entire rental unit,Entire home/apt,4,1,1 bath,1,1,"[""Refrigerator"", ""Bed linens"", ""Conditioner"", ""Freezer"", ""Shower gel"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Iron"", ""Coffee"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Paid parking on premises"", ""Free dryer \u2013 In unit"", ""Carbon monoxide alarm"", ""Wifi"", ""Radiant heating"", ""Shampoo"", ""Air conditioning"", ""Portable fans"", ""Body soap"", ""Kitchen"", ""Dishwasher"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Ceiling fan"", ""Gas stove"", ""Washer""]",$471.00 ,10,2,0,270,2,12,5652,4.2,4.2,4.3,4.9,4.6,4.9,4.3,1,1,0,0,0.47
Excellent Room Next to Harvard,"Large, quiet room only a couple blocks away from Harvard University and all the shops and cafes of Harvard Square.<br /><br />Queen sized bed in a 2 bed, 1 bath apartment. <br />Dedicated, private desk in room. <br />Fast wifi. <br />Lock on the bedroom door.<br /><br />Shared bathroom and kitchen are cleaned every few days when the other bedroom is rented.<br /><br />Washer/dryer are in the basement of the building and available at any time.","Welcome to the lively and historic neighborhood nestled between the picturesque Charles River and the prestigious Harvard University in Cambridge, MA! This charming and sophisticated community is characterized by a unique blend of intellectual energy, cultural diversity, and a rich historical ambiance.<br /><br />As you meander through the tree-lined streets of this captivating neighborhood, you'll be mesmerized by the stunning architecture reflecting the deep-rooted history of Cambridge. The area is dotted with beautifully maintained Victorian and Queen Anne-style homes, which add a touch of elegance to this esteemed locale.<br /><br />Located just a stone's throw away from Harvard Square, you'll enjoy unparalleled access to world-class dining, boutique shopping, and an eclectic mix of art galleries, theaters, and museums. The neighborhood also boasts numerous lush parks and green spaces, ideal for a leisurely afternoon picnic or an invigorating morning jog.<br /><br />In this invitin","Cambridge, MA",,within an hour,94%,58%,Cambridge,135,190,"['email', 'phone']",Neighborhood highlights,Mid-Cambridge,,42.37301575,-71.11277559,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Refrigerator"", ""Bed linens"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Lock on bedroom door"", ""Shower gel"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Dryer"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""TV"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Wine glasses"", ""Private entrance"", ""Heating"", ""Washer""]",,3,0,0,0,0,0,,5,5,4.67,4.67,5,5,4.33,68,32,36,0,0.14
"Next to Harvard, Walk to Grocery, Shops, & Parks","Large, quiet room only a couple blocks away from Harvard University and all the shops and cafes of Harvard Square.<br /><br />Queen sized bed in a 2 bed, 1 bath apartment. Fast wifi. Lock on the bedroom door.<br /><br />Shared bathroom and kitchen are cleaned every few days when the other bedroom is rented.<br /><br />Washer/dryer are in the basement of the building and available at any time.",,"Cambridge, MA",,within an hour,94%,58%,Cambridge,135,190,"['email', 'phone']",,Mid-Cambridge,,42.37357,-71.11125,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Refrigerator"", ""Bed linens"", ""Free dryer \u2013 In building"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Lock on bedroom door"", ""Shower gel"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Cleaning products"", ""Toaster"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""TV"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Free washer \u2013 In building"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Wine glasses"", ""Heating"", ""Paid parking off premises""]",,0,0,0,73,0,0,,,,,,,,,68,32,36,0,
Cozy Room Next to Harvard,"Large, quiet room only a couple blocks away from Harvard University and all the shops and cafes of Harvard Square.<br /><br />Queen sized bed in a 2 bed, 1 bath apartment. Fast wifi. Lock on the bedroom door.<br /><br />Shared bathroom and kitchen are cleaned every few days when the other bedroom is rented.<br /><br />Washer/dryer are in the basement of the building and available at any time.",,"Cambridge, MA",,within an hour,94%,58%,Cambridge,135,190,"['email', 'phone']",,Mid-Cambridge,,42.37346038,-71.11109775,Private room in rental unit,Private room,2,,1 shared bath,,,"[""Refrigerator"", ""Bed linens"", ""Hot water kettle"", ""Freezer"", ""Oven"", ""Lock on bedroom door"", ""Shower gel"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Dryer"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Coffee maker"", ""Essentials"", ""Dining table"", ""TV"", ""Cleaning available during stay"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Air conditioning"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Wine glasses"", ""Private entrance"", ""Heating"", ""Washer""]",,3,0,0,0,0,0,,5,4.67,5,5,4.67,5,5,68,32,36,0,0.14
Luxe 3BR apartment at MIT/Harvard free parking!,"Luxe and cozy apartment in the MIT backyard! Ground floor level with central AC and private laundry. 1m (literally!) to the MIT buildings and Kendall Square. Centrally located near restaurants and shops. 10m to train Station, 5m driving to Harvard (two stops from Kendell station). The apartment is located on a super quiet street in one of the safest neighborhoods in Cambridge.<br />Fully staffed kitchen with everything you will need, with coffee and tea station PLUS gift kit.  FREE off-street parking","Incredibly quiet neighborhood on a private way, one minute, literally, to the MIT buildings.<br /><br />The kitchen is fully equipped with cooking utensils and supplies. Loaded coffee and tea corner with many options.","Boston, MA","I'm a tech savvy (aka engineer), wife, and mother based in Boston area, I work in the offshore wind energy industry and I'm passionate about exploring the world with my small family.",within an hour,100%,99%,Wellington-Harrington,1,1,"['email', 'phone', 'work_email']",Neighborhood highlights,Wellington-Harrington,,42.3683768,-71.0914493,Entire rental unit,Entire home/apt,7,1,1 bath,3,3,"[""Refrigerator"", ""Bed linens"", ""Trash compactor"", ""Conditioner"", ""Free dryer \u2013 In building"", ""Central air conditioning"", ""Free parking on premises \u2013 1 space"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Drying rack for clothing"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Shower gel"", ""First aid kit"", ""Board games"", ""Electric stove"", ""Luggage dropoff allowed"", ""Self check-in"", ""Hair dryer"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Baking sheet"", ""Iron"", ""Blender"", ""Keypad"", ""Books and reading material"", ""Coffee"", ""Stainless steel single oven"", ""Portable heater"", ""Cleaning products"", ""Toaster"", ""Coffee maker: drip coffee maker, french press"", ""Smoke alarm"", ""Hangers"", ""Essentials"", ""Dining table"", ""TV"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Kitchen"", ""Free washer \u2013 In building"", ""Body soap"", ""Portable fans"", ""Dishwasher"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Hot water"", ""Arcade games"", ""Paid crib - available upon request"", ""Ceiling fan"", ""Private entrance"", ""Central heating"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Exercise equipment: yoga mat"", ""Clothing storage: closet, wardrobe, and dresser""]",$271.00 ,106,62,4,172,64,255,69105,4.97,4.93,5,4.98,5,4.92,4.8,1,1,0,0,4.7
"Cozy Room Near MIT/MGH/Harvard, 30 Days+","Enjoy easy access to everything from this perfectly located home: <br />- 10-min walk to MIT; <br />- 1-min direct T ride to Mass General Hospital;<br />- 9-min direct bus ride to Harvard main campus;<br />- 28-min direct T ride to Harvard Medical School and affiliated teaching hospitals in Longwood; and<br />- 7-min walk to shopping centers, Apple Store, Starbucks, supermarkets, pharmacies, restaurants, etc.<br /><br />Please note:<br />- Shared kitchen and bathrooms.","This neighborhood houses one of the best-known high-tech and innovation hubs of the United States and arguably has the highest concentration of PhD's in the world. <br /><br />However, this neighborhood is probably the most ""below the radar"" for tourists, but what it lacks in glamour it more than makes up for it in total, earnest hidden-gem-ness. Cruise down its main aorta, Cambridge Street, for access to some of the best fish markets, Portuguese bakeries, and well-loved bars in town. Mall rats can get their fill between the Cambridgeside Galleria and the Twin City Plaza shopping center, but one would be remiss to pass up stylish treasures at the Cambridge Antique Market. The residential makeup is richly diverse,anchored with strong Irish and Portuguese communities. Local pride runs thick.","Cambridge, MA",,within an hour,100%,98%,Wellington-Harrington,33,42,"['email', 'phone']",Neighborhood highlights,East Cambridge,,42.36973,-71.08375,Private room in home,Private room,1,3,3 shared baths,1,1,"[""Refrigerator"", ""Bed linens"", ""Hot water kettle"", ""Oven"", ""Lock on bedroom door"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Dining table"", ""Carbon monoxide alarm"", ""Wifi"", ""Window AC unit"", ""Kitchen"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating""]",$52.00 ,5,1,0,245,1,60,3120,4.8,4.8,4.8,5,5,4.6,4.4,22,1,21,0,0.26
"Cozy Room Near MIT/MGH/Harvard, 30 Days+","Enjoy easy access to everything from this perfectly located home: <br />- 10-min walk to MIT; <br />- 1-min direct T ride to Mass General Hospital;<br />- 9-min direct bus ride to Harvard main campus;<br />- 28-min direct T ride to Harvard Medical School; and<br />- 7-min walk to shopping centers, Apple Store, Starbucks, supermarkets, pharmacies, restaurants, etc.<br /><br />Please note:<br />- Shared kitchen and bathrooms.","This neighborhood houses one of the best-known high-tech and innovation hubs of the United States and arguably has the highest concentration of PhD's in the world. However, this neighborhood is probably the most ""below the radar"" for tourists, but what it lacks in glamour it more than makes up for it in total, earnest hidden-gem-ness. Cruise down its main aorta, Cambridge Street, for access to some of the best fish markets, Portuguese bakeries, and well-loved bars in town. Mall rats can get their fill between the Cambridgeside Galleria and the Twin City Plaza shopping center, but one would be remiss to pass up stylish treasures at the Cambridge Antique Market. The residential makeup is richly diverse, anchored with strong Irish and Portuguese communities. Local pride runs thick.","Cambridge, MA",,within an hour,100%,98%,Wellington-Harrington,33,42,"['email', 'phone']",Neighborhood highlights,East Cambridge,,42.36858945,-71.08368719,Private room in home,Private room,1,3,3 shared baths,1,1,"[""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hot water kettle"", ""Oven"", ""Lock on bedroom door"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Self check-in"", ""Hair dryer"", ""Backyard"", ""Bathtub"", ""Dedicated workspace"", ""Microwave"", ""Long term stays allowed"", ""Iron"", ""Keypad"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Dining table"", ""Carbon monoxide alarm"", ""Wifi"", ""Window AC unit"", ""Kitchen"", ""Stove"", ""Dishes and silverware"", ""Clothing storage"", ""Hot water"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating""]",$53.00 ,6,6,0,231,6,255,13515,5,5,4.33,5,5,4.83,4.67,22,1,21,0,0.53
"Room Near MIT/MGH/Harvard, 30 Days+","In-Room Amenities: desk, chair, lamp, mirror, hangers, and mini-fridge.<br /><br />- 10-min walk to MIT; <br />- 1-min direct T ride to Mass General Hospital;<br />- 9-min direct bus ride to Harvard main campus;<br />- 28-min direct T ride to Harvard Medical School and affiliated teaching hospitals in Longwood; and<br />- 7-min walk to shopping centers, Apple Store, Starbucks, supermarkets, pharmacies, restaurants, etc.<br /><br />Please note:<br />- Shared kitchen and bathrooms.",,"Cambridge, MA",,within an hour,100%,98%,Wellington-Harrington,33,42,"['email', 'phone']",,Wellington-Harrington,,42.37027,-71.08964,Private room in home,Private room,2,2,2 shared baths,1,1,"[""Refrigerator"", ""Bed linens"", ""Lock on bedroom door"", ""Paid washer \u2013 In building"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Hair dryer"", ""Bathtub"", ""Dedicated workspace"", ""Long term stays allowed"", ""Iron"", ""Cleaning products"", ""Smoke alarm"", ""Hangers"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Wifi"", ""Kitchen"", ""Air conditioning"", ""Portable fans"", ""Room-darkening shades"", ""Clothing storage"", ""Hot water"", ""Mini fridge"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Heating""]",$55.00 ,9,4,0,188,3,240,13200,4.67,4.67,4.67,4.89,5,4.89,4.78,22,1,21,0,0.41
